Region/Country/Area,,Year,Series,Value
20,Andorra,2010,Expenditure by level of education: pre-primary (as % of government expenditure),14.6094
20,Andorra,2010,Expenditure by level of education: primary (as % of government expenditure),28.8952
20,Andorra,2010,Expenditure by level of education: secondary (as % of government expenditure),20.9346
20,Andorra,2010,Expenditure by level of education: tertiary (as % of government expenditure),3.8613
20,Andorra,2010,Public expenditure on education (% of GDP),3.0574
20,Andorra,2017,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),63.8312
20,Andorra,2017,All staff compensation as % of total expenditure in public institutions (%),35.4391
20,Andorra,2017,Capital expenditure as % of total expenditure in public institutions (%),0.7298
20,Andorra,2017,Expenditure by level of education: pre-primary (as % of government expenditure),11.912
20,Andorra,2017,Expenditure by level of education: primary (as % of government expenditure),22.0479
20,Andorra,2017,Expenditure by level of education: secondary (as % of government expenditure),24.7644
20,Andorra,2017,Expenditure by level of education: tertiary (as % of government expenditure),5.6752
20,Andorra,2017,Public expenditure on education (% of GDP),3.1956
24,Angola,2005,Expenditure by level of education: primary (as % of government expenditure),36.4988
24,Angola,2005,Expenditure by level of education: secondary (as % of government expenditure),55.2176
24,Angola,2005,Expenditure by level of education: tertiary (as % of government expenditure),8.2836
24,Angola,2005,Public expenditure on education (% of government expenditure),7.9924
24,Angola,2005,Public expenditure on education (% of GDP),2.7762
24,Angola,2006,Capital expenditure as % of total expenditure in public institutions (%),24.3496
24,Angola,2006,Expenditure by level of education: pre-primary (as % of government expenditure),13.5355
24,Angola,2006,Expenditure by level of education: primary (as % of government expenditure),31.4335
24,Angola,2006,Expenditure by level of education: secondary (as % of government expenditure),42.4243
24,Angola,2006,Expenditure by level of education: tertiary (as % of government expenditure),8.7012
24,Angola,2006,Public expenditure on education (% of government expenditure),7.4548
24,Angola,2006,Public expenditure on education (% of GDP),2.8597
24,Angola,2010,Public expenditure on education (% of government expenditure),8.6848
24,Angola,2010,Public expenditure on education (% of GDP),3.4741
660,Anguilla,2005,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),6.7393
660,Anguilla,2005,All staff compensation as % of total expenditure in public institutions (%),80.8978
660,Anguilla,2005,Expenditure by level of education: pre-primary (as % of government expenditure),1.9369
660,Anguilla,2005,Expenditure by level of education: primary (as % of government expenditure),28.5042
660,Anguilla,2005,Expenditure by level of education: secondary (as % of government expenditure),51.2568
660,Anguilla,2005,Expenditure by level of education: tertiary (as % of government expenditure),18.3021
660,Anguilla,2005,Public expenditure on education (% of GDP),2.9545
660,Anguilla,2008,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),9.8199
660,Anguilla,2008,All staff compensation as % of total expenditure in public institutions (%),69.3658
660,Anguilla,2008,Capital expenditure as % of total expenditure in public institutions (%),20.8143
660,Anguilla,2008,Expenditure by level of education: pre-primary (as % of government expenditure),1.6106
660,Anguilla,2008,Expenditure by level of education: primary (as % of government expenditure),39.4499
660,Anguilla,2008,Expenditure by level of education: secondary (as % of government expenditure),56.0897
660,Anguilla,2008,Expenditure by level of education: tertiary (as % of government expenditure),2.8498
660,Anguilla,2008,Public expenditure on education (% of GDP),2.8426
28,Antigua and Barbuda,2002,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),25.6809
28,Antigua and Barbuda,2002,Capital expenditure as % of total expenditure in public institutions (%),3.8509
28,Antigua and Barbuda,2002,Expenditure by level of education: pre-primary (as % of government expenditure),2.1061
28,Antigua and Barbuda,2002,Expenditure by level of education: primary (as % of government expenditure),28.5517
28,Antigua and Barbuda,2002,Expenditure by level of education: secondary (as % of government expenditure),35.1522
28,Antigua and Barbuda,2002,Expenditure by level of education: tertiary (as % of government expenditure),6.7188
28,Antigua and Barbuda,2002,Public expenditure on education (% of government expenditure),11.7015
28,Antigua and Barbuda,2002,Public expenditure on education (% of GDP),3.3943
28,Antigua and Barbuda,2009,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),21.629
28,Antigua and Barbuda,2009,All staff compensation as % of total expenditure in public institutions (%),73.2148
28,Antigua and Barbuda,2009,Capital expenditure as % of total expenditure in public institutions (%),5.1562
28,Antigua and Barbuda,2009,Expenditure by level of education: pre-primary (as % of government expenditure),0.2619
28,Antigua and Barbuda,2009,Expenditure by level of education: primary (as % of government expenditure),41.6132
28,Antigua and Barbuda,2009,Expenditure by level of education: secondary (as % of government expenditure),48.3925
28,Antigua and Barbuda,2009,Expenditure by level of education: tertiary (as % of government expenditure),7.3531
28,Antigua and Barbuda,2009,Public expenditure on education (% of government expenditure),6.9281
28,Antigua and Barbuda,2009,Public expenditure on education (% of GDP),2.5172
32,Argentina,2004,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),11.5804
32,Argentina,2004,All staff compensation as % of total expenditure in public institutions (%),87.5775
32,Argentina,2004,Capital expenditure as % of total expenditure in public institutions (%),0.8422
32,Argentina,2004,Expenditure by level of education: pre-primary (as % of government expenditure),8.3006
32,Argentina,2004,Expenditure by level of education: primary (as % of government expenditure),36.6955
32,Argentina,2004,Expenditure by level of education: secondary (as % of government expenditure),37.7991
32,Argentina,2004,Expenditure by level of education: tertiary (as % of government expenditure),17.2048
32,Argentina,2004,Public expenditure on education (% of government expenditure),15.1405
32,Argentina,2004,Public expenditure on education (% of GDP),3.4865
32,Argentina,2005,Expenditure by level of education: pre-primary (as % of government expenditure),7.8752
32,Argentina,2005,Expenditure by level of education: primary (as % of government expenditure),34.1957
32,Argentina,2005,Expenditure by level of education: secondary (as % of government expenditure),41.6871
32,Argentina,2005,Expenditure by level of education: tertiary (as % of government expenditure),16.242
32,Argentina,2005,Public expenditure on education (% of government expenditure),15.8082
32,Argentina,2005,Public expenditure on education (% of GDP),3.86
32,Argentina,2010,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),9.9087
32,Argentina,2010,All staff compensation as % of total expenditure in public institutions (%),85.8718
32,Argentina,2010,Capital expenditure as % of total expenditure in public institutions (%),4.2195
32,Argentina,2010,Expenditure by level of education: pre-primary (as % of government expenditure),7.437
32,Argentina,2010,Expenditure by level of education: primary (as % of government expenditure),33.0549
32,Argentina,2010,Expenditure by level of education: secondary (as % of government expenditure),39.65
32,Argentina,2010,Expenditure by level of education: tertiary (as % of government expenditure),19.8581
32,Argentina,2010,Public expenditure on education (% of government expenditure),15.0483
32,Argentina,2010,Public expenditure on education (% of GDP),5.0197
32,Argentina,2016,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),6.7773
32,Argentina,2016,All staff compensation as % of total expenditure in public institutions (%),82.4161
32,Argentina,2016,Capital expenditure as % of total expenditure in public institutions (%),10.8066
32,Argentina,2016,Expenditure by level of education: pre-primary (as % of government expenditure),8.6223
32,Argentina,2016,Expenditure by level of education: primary (as % of government expenditure),30.074
32,Argentina,2016,Expenditure by level of education: secondary (as % of government expenditure),40.9361
32,Argentina,2016,Expenditure by level of education: tertiary (as % of government expenditure),20.3676
32,Argentina,2016,Public expenditure on education (% of government expenditure),13.3762
32,Argentina,2016,Public expenditure on education (% of GDP),5.5722
51,Armenia,2005,Public expenditure on education (% of government expenditure),13.6481
51,Armenia,2005,Public expenditure on education (% of GDP),2.712
51,Armenia,2009,Expenditure by level of education: pre-primary (as % of government expenditure),11.3053
51,Armenia,2009,Expenditure by level of education: tertiary (as % of government expenditure),9.3612
51,Armenia,2009,Public expenditure on education (% of government expenditure),13.4512
51,Armenia,2009,Public expenditure on education (% of GDP),3.8408
51,Armenia,2010,Expenditure by level of education: tertiary (as % of government expenditure),11.654
51,Armenia,2010,Public expenditure on education (% of government expenditure),12.4005
51,Armenia,2010,Public expenditure on education (% of GDP),3.249
51,Armenia,2016,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),8.2352
51,Armenia,2016,All staff compensation as % of total expenditure in public institutions (%),82.468
51,Armenia,2016,Capital expenditure as % of total expenditure in public institutions (%),9.2968
51,Armenia,2016,Expenditure by level of education: pre-primary (as % of government expenditure),11.9138
51,Armenia,2016,Expenditure by level of education: primary (as % of government expenditure),20.6657
51,Armenia,2016,Expenditure by level of education: secondary (as % of government expenditure),51.0743
51,Armenia,2016,Expenditure by level of education: tertiary (as % of government expenditure),13.184
51,Armenia,2016,Public expenditure on education (% of government expenditure),10.1972
51,Armenia,2016,Public expenditure on education (% of GDP),2.7581
533,Aruba,2005,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),6.1214
533,Aruba,2005,All staff compensation as % of total expenditure in public institutions (%),90.6725
533,Aruba,2005,Capital expenditure as % of total expenditure in public institutions (%),3.2061
533,Aruba,2005,Expenditure by level of education: pre-primary (as % of government expenditure),6.7904
533,Aruba,2005,Expenditure by level of education: primary (as % of government expenditure),26.7322
533,Aruba,2005,Expenditure by level of education: secondary (as % of government expenditure),26.7684
533,Aruba,2005,Expenditure by level of education: tertiary (as % of government expenditure),11.4853
533,Aruba,2005,Public expenditure on education (% of GDP),4.6808
533,Aruba,2009,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),5.7362
533,Aruba,2009,All staff compensation as % of total expenditure in public institutions (%),87.0319
533,Aruba,2009,Public expenditure on education (% of GDP),5.9247
533,Aruba,2010,Public expenditure on education (% of GDP),6.7125
533,Aruba,2016,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),6.9513
533,Aruba,2016,All staff compensation as % of total expenditure in public institutions (%),93.0487
533,Aruba,2016,Expenditure by level of education: pre-primary (as % of government expenditure),5.6924
533,Aruba,2016,Expenditure by level of education: primary (as % of government expenditure),27.5259
533,Aruba,2016,Expenditure by level of education: secondary (as % of government expenditure),33.2456
533,Aruba,2016,Expenditure by level of education: tertiary (as % of government expenditure),18.3915
533,Aruba,2016,Public expenditure on education (% of GDP),6.1432
36,Australia,2000,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),24.6669
36,Australia,2000,All staff compensation as % of total expenditure in public institutions (%),68.3224
36,Australia,2000,Capital expenditure as % of total expenditure in public institutions (%),7.0108
36,Australia,2000,Expenditure by level of education: pre-primary (as % of government expenditure),1.2368
36,Australia,2000,Expenditure by level of education: primary (as % of government expenditure),34.0679
36,Australia,2000,Expenditure by level of education: secondary (as % of government expenditure),38.5898
36,Australia,2000,Expenditure by level of education: tertiary (as % of government expenditure),23.4199
36,Australia,2000,Public expenditure on education (% of government expenditure),13.3602
36,Australia,2000,Public expenditure on education (% of GDP),4.8937
36,Australia,2005,Expenditure by level of education: pre-primary (as % of government expenditure),1.0355
36,Australia,2005,Expenditure by level of education: primary (as % of government expenditure),34.6246
36,Australia,2005,Expenditure by level of education: secondary (as % of government expenditure),39.7121
36,Australia,2005,Expenditure by level of education: tertiary (as % of government expenditure),22.195
36,Australia,2005,Public expenditure on education (% of government expenditure),13.5851
36,Australia,2005,Public expenditure on education (% of GDP),4.9157
36,Australia,2010,Expenditure by level of education: pre-primary (as % of government expenditure),1.1666
36,Australia,2010,Expenditure by level of education: primary (as % of government expenditure),36.807
36,Australia,2010,Expenditure by level of education: secondary (as % of government expenditure),36.7889
36,Australia,2010,Expenditure by level of education: tertiary (as % of government expenditure),22.2766
36,Australia,2010,Public expenditure on education (% of government expenditure),14.3276
36,Australia,2010,Public expenditure on education (% of GDP),5.5592
36,Australia,2015,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),27.1111
36,Australia,2015,All staff compensation as % of total expenditure in public institutions (%),65.2272
36,Australia,2015,Capital expenditure as % of total expenditure in public institutions (%),7.6617
36,Australia,2015,Expenditure by level of education: pre-primary (as % of government expenditure),3.2599
36,Australia,2015,Expenditure by level of education: primary (as % of government expenditure),31.7843
36,Australia,2015,Expenditure by level of education: secondary (as % of government expenditure),30.5254
36,Australia,2015,Expenditure by level of education: tertiary (as % of government expenditure),28.8554
36,Australia,2015,Public expenditure on education (% of government expenditure),14.0758
36,Australia,2015,Public expenditure on education (% of GDP),5.3218
40,Austria,2005,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),23.1892
40,Austria,2005,All staff compensation as % of total expenditure in public institutions (%),72.0859
40,Austria,2005,Capital expenditure as % of total expenditure in public institutions (%),4.7249
40,Austria,2005,Expenditure by level of education: pre-primary (as % of government expenditure),7.4168
40,Austria,2005,Expenditure by level of education: primary (as % of government expenditure),18.9953
40,Austria,2005,Expenditure by level of education: secondary (as % of government expenditure),45.9373
40,Austria,2005,Expenditure by level of education: tertiary (as % of government expenditure),27.2828
40,Austria,2005,Public expenditure on education (% of government expenditure),10.2619
40,Austria,2005,Public expenditure on education (% of GDP),5.2494
40,Austria,2010,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),24.8899
40,Austria,2010,All staff compensation as % of total expenditure in public institutions (%),70.1928
40,Austria,2010,Capital expenditure as % of total expenditure in public institutions (%),4.9173
40,Austria,2010,Expenditure by level of education: pre-primary (as % of government expenditure),10.3278
40,Austria,2010,Expenditure by level of education: primary (as % of government expenditure),17.1328
40,Austria,2010,Expenditure by level of education: secondary (as % of government expenditure),44.3599
40,Austria,2010,Expenditure by level of education: tertiary (as % of government expenditure),27.7145
40,Austria,2010,Public expenditure on education (% of government expenditure),10.7891
40,Austria,2010,Public expenditure on education (% of GDP),5.7005
40,Austria,2015,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),26.2292
40,Austria,2015,All staff compensation as % of total expenditure in public institutions (%),68.2811
40,Austria,2015,Capital expenditure as % of total expenditure in public institutions (%),5.4898
40,Austria,2015,Expenditure by level of education: pre-primary (as % of government expenditure),8.8148
40,Austria,2015,Expenditure by level of education: primary (as % of government expenditure),16.5679
40,Austria,2015,Expenditure by level of education: secondary (as % of government expenditure),39.8774
40,Austria,2015,Expenditure by level of education: tertiary (as % of government expenditure),32.6336
40,Austria,2015,Public expenditure on education (% of government expenditure),10.6935
40,Austria,2015,Public expenditure on education (% of GDP),5.453
31,Azerbaijan,2005,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),31.5684
31,Azerbaijan,2005,All staff compensation as % of total expenditure in public institutions (%),66.7913
31,Azerbaijan,2005,Capital expenditure as % of total expenditure in public institutions (%),1.6403
31,Azerbaijan,2005,Expenditure by level of education: pre-primary (as % of government expenditure),6.8592
31,Azerbaijan,2005,Expenditure by level of education: tertiary (as % of government expenditure),6.9457
31,Azerbaijan,2005,Public expenditure on education (% of government expenditure),13.2232
31,Azerbaijan,2005,Public expenditure on education (% of GDP),2.9746
31,Azerbaijan,2010,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),32.6161
31,Azerbaijan,2010,All staff compensation as % of total expenditure in public institutions (%),64.8473
31,Azerbaijan,2010,Capital expenditure as % of total expenditure in public institutions (%),2.5366
31,Azerbaijan,2010,Expenditure by level of education: pre-primary (as % of government expenditure),7.0514
31,Azerbaijan,2010,Expenditure by level of education: tertiary (as % of government expenditure),14.0389
31,Azerbaijan,2010,Public expenditure on education (% of government expenditure),8.7008
31,Azerbaijan,2010,Public expenditure on education (% of GDP),2.7806
31,Azerbaijan,2016,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),41.9587
31,Azerbaijan,2016,All staff compensation as % of total expenditure in public institutions (%),56.089
31,Azerbaijan,2016,Capital expenditure as % of total expenditure in public institutions (%),1.9523
31,Azerbaijan,2016,Expenditure by level of education: pre-primary (as % of government expenditure),10.49
31,Azerbaijan,2016,Expenditure by level of education: secondary (as % of government expenditure),72.4274
31,Azerbaijan,2016,Expenditure by level of education: tertiary (as % of government expenditure),17.0826
31,Azerbaijan,2016,Public expenditure on education (% of government expenditure),8.2012
31,Azerbaijan,2016,Public expenditure on education (% of GDP),2.9034
44,Bahamas,2000,Public expenditure on education (% of government expenditure),18.9228
44,Bahamas,2000,Public expenditure on education (% of GDP),2.2328
48,Bahrain,2008,Public expenditure on education (% of government expenditure),10.5587
48,Bahrain,2008,Public expenditure on education (% of GDP),2.4968
48,Bahrain,2012,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),13.8305
48,Bahrain,2012,All staff compensation as % of total expenditure in public institutions (%),82.3205
48,Bahrain,2012,Capital expenditure as % of total expenditure in public institutions (%),3.849
48,Bahrain,2012,Public expenditure on education (% of government expenditure),8.2885
48,Bahrain,2012,Public expenditure on education (% of GDP),2.6453
48,Bahrain,2013,Expenditure by level of education: primary (as % of government expenditure),32.0718
48,Bahrain,2013,Expenditure by level of education: secondary (as % of government expenditure),43.4031
48,Bahrain,2013,Expenditure by level of education: tertiary (as % of government expenditure),24.4047
48,Bahrain,2013,Public expenditure on education (% of government expenditure),7.2153
48,Bahrain,2013,Public expenditure on education (% of GDP),2.4769
48,Bahrain,2015,Expenditure by level of education: primary (as % of government expenditure),32.9869
48,Bahrain,2015,Expenditure by level of education: secondary (as % of government expenditure),44.2246
48,Bahrain,2015,Public expenditure on education (% of government expenditure),7.2974
48,Bahrain,2015,Public expenditure on education (% of GDP),2.6681
48,Bahrain,2017,Public expenditure on education (% of government expenditure),7.1804
48,Bahrain,2017,Public expenditure on education (% of GDP),2.3355
50,Bangladesh,2004,Expenditure by level of education: primary (as % of government expenditure),39.9873
50,Bangladesh,2004,Expenditure by level of education: secondary (as % of government expenditure),48.4707
50,Bangladesh,2004,Expenditure by level of education: tertiary (as % of government expenditure),11.5421
50,Bangladesh,2004,Public expenditure on education (% of government expenditure),15.9531
50,Bangladesh,2004,Public expenditure on education (% of GDP),1.9401
50,Bangladesh,2009,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),21.2008
50,Bangladesh,2009,All staff compensation as % of total expenditure in public institutions (%),59.7806
50,Bangladesh,2009,Capital expenditure as % of total expenditure in public institutions (%),19.0186
50,Bangladesh,2009,Expenditure by level of education: primary (as % of government expenditure),44.728
50,Bangladesh,2009,Expenditure by level of education: secondary (as % of government expenditure),40.2057
50,Bangladesh,2009,Expenditure by level of education: tertiary (as % of government expenditure),13.5014
50,Bangladesh,2009,Public expenditure on education (% of government expenditure),14.0299
50,Bangladesh,2009,Public expenditure on education (% of GDP),1.9394
50,Bangladesh,2012,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),4.2789
50,Bangladesh,2012,All staff compensation as % of total expenditure in public institutions (%),95.1827
50,Bangladesh,2012,Capital expenditure as % of total expenditure in public institutions (%),0.5384
50,Bangladesh,2012,Expenditure by level of education: primary (as % of government expenditure),44.6029
50,Bangladesh,2012,Expenditure by level of education: secondary (as % of government expenditure),39.0991
50,Bangladesh,2012,Expenditure by level of education: tertiary (as % of government expenditure),14.7335
50,Bangladesh,2012,Public expenditure on education (% of government expenditure),15.5932
50,Bangladesh,2012,Public expenditure on education (% of GDP),2.1755
50,Bangladesh,2016,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),12.8574
50,Bangladesh,2016,All staff compensation as % of total expenditure in public institutions (%),72.9599
50,Bangladesh,2016,Capital expenditure as % of total expenditure in public institutions (%),14.1827
50,Bangladesh,2016,Expenditure by level of education: secondary (as % of government expenditure),64.3283
50,Bangladesh,2016,Expenditure by level of education: tertiary (as % of government expenditure),33.2774
50,Bangladesh,2016,Public expenditure on education (% of government expenditure),11.4194
50,Bangladesh,2016,Public expenditure on education (% of GDP),1.5355
52,Barbados,2005,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),16.1543
52,Barbados,2005,All staff compensation as % of total expenditure in public institutions (%),79.8677
52,Barbados,2005,Capital expenditure as % of total expenditure in public institutions (%),3.978
52,Barbados,2005,Expenditure by level of education: pre-primary (as % of government expenditure),6.2525
52,Barbados,2005,Expenditure by level of education: primary (as % of government expenditure),27.8938
52,Barbados,2005,Expenditure by level of education: secondary (as % of government expenditure),31.6959
52,Barbados,2005,Expenditure by level of education: tertiary (as % of government expenditure),31.5778
52,Barbados,2005,Public expenditure on education (% of government expenditure),18.243
52,Barbados,2005,Public expenditure on education (% of GDP),5.557
52,Barbados,2008,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),14.4964
52,Barbados,2008,All staff compensation as % of total expenditure in public institutions (%),78.6461
52,Barbados,2008,Capital expenditure as % of total expenditure in public institutions (%),6.8575
52,Barbados,2008,Expenditure by level of education: pre-primary (as % of government expenditure),0.3798
52,Barbados,2008,Expenditure by level of education: primary (as % of government expenditure),36.8566
52,Barbados,2008,Expenditure by level of education: secondary (as % of government expenditure),29.3694
52,Barbados,2008,Expenditure by level of education: tertiary (as % of government expenditure),30.0896
52,Barbados,2008,Public expenditure on education (% of government expenditure),15.7107
52,Barbados,2008,Public expenditure on education (% of GDP),5.0861
52,Barbados,2010,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),10.4493
52,Barbados,2010,All staff compensation as % of total expenditure in public institutions (%),83.3696
52,Barbados,2010,Capital expenditure as % of total expenditure in public institutions (%),6.1812
52,Barbados,2010,Expenditure by level of education: secondary (as % of government expenditure),29.6374
52,Barbados,2010,Expenditure by level of education: tertiary (as % of government expenditure),32.5057
52,Barbados,2010,Public expenditure on education (% of government expenditure),18.0963
52,Barbados,2010,Public expenditure on education (% of GDP),6.0973
52,Barbados,2016,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),50.4527
52,Barbados,2016,All staff compensation as % of total expenditure in public institutions (%),45.3425
52,Barbados,2016,Capital expenditure as % of total expenditure in public institutions (%),4.2048
52,Barbados,2016,Expenditure by level of education: primary (as % of government expenditure),29.6064
52,Barbados,2016,Expenditure by level of education: secondary (as % of government expenditure),39.3067
52,Barbados,2016,Expenditure by level of education: tertiary (as % of government expenditure),31.0869
52,Barbados,2016,Public expenditure on education (% of government expenditure),14.0553
52,Barbados,2016,Public expenditure on education (% of GDP),5.0927
52,Barbados,2017,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),38.4916
52,Barbados,2017,All staff compensation as % of total expenditure in public institutions (%),57.0616
52,Barbados,2017,Capital expenditure as % of total expenditure in public institutions (%),4.4468
52,Barbados,2017,Expenditure by level of education: tertiary (as % of government expenditure),28.5407
52,Barbados,2017,Public expenditure on education (% of government expenditure),12.8792
52,Barbados,2017,Public expenditure on education (% of GDP),4.6565
112,Belarus,2005,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),30.0787
112,Belarus,2005,All staff compensation as % of total expenditure in public institutions (%),65.1658
112,Belarus,2005,Capital expenditure as % of total expenditure in public institutions (%),4.7555
112,Belarus,2005,Expenditure by level of education: pre-primary (as % of government expenditure),17.3711
112,Belarus,2005,Expenditure by level of education: tertiary (as % of government expenditure),25.4776
112,Belarus,2005,Public expenditure on education (% of government expenditure),12.6201
112,Belarus,2005,Public expenditure on education (% of GDP),5.871
112,Belarus,2010,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),26.5025
112,Belarus,2010,All staff compensation as % of total expenditure in public institutions (%),62.5684
112,Belarus,2010,Capital expenditure as % of total expenditure in public institutions (%),10.9292
112,Belarus,2010,Expenditure by level of education: pre-primary (as % of government expenditure),18.9914
112,Belarus,2010,Expenditure by level of education: tertiary (as % of government expenditure),17.1275
112,Belarus,2010,Public expenditure on education (% of government expenditure),11.7781
112,Belarus,2010,Public expenditure on education (% of GDP),5.22
112,Belarus,2017,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),27.353
112,Belarus,2017,All staff compensation as % of total expenditure in public institutions (%),67.0148
112,Belarus,2017,Capital expenditure as % of total expenditure in public institutions (%),5.6322
112,Belarus,2017,Expenditure by level of education: pre-primary (as % of government expenditure),23.9527
112,Belarus,2017,Expenditure by level of education: secondary (as % of government expenditure),50.4586
112,Belarus,2017,Expenditure by level of education: tertiary (as % of government expenditure),16.4784
112,Belarus,2017,Public expenditure on education (% of government expenditure),12.2817
112,Belarus,2017,Public expenditure on education (% of GDP),4.82
56,Belgium,2005,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),11.7209
56,Belgium,2005,All staff compensation as % of total expenditure in public institutions (%),85.4871
56,Belgium,2005,Capital expenditure as % of total expenditure in public institutions (%),2.792
56,Belgium,2005,Expenditure by level of education: pre-primary (as % of government expenditure),9.5699
56,Belgium,2005,Expenditure by level of education: tertiary (as % of government expenditure),21.6971
56,Belgium,2005,Public expenditure on education (% of government expenditure),11.1742
